Subject,Trial_Index,True_Class_ID,True_Class,Raw_Prediction,Raw_Predicted_Class,Clean_Prediction,Clean_Predicted_Class,Raw_Margin,Clean_Margin,Delta_Margin,Raw_Correct,Clean_Correct,Raw_Competitor,Clean_Competitor,Raw_Status,Clean_Status,Outcome_Transition
A01,0,0,Left_Hand,1,Right_Hand,0,Left_Hand,-0.09277200698852539,0.009618163108825684,0.10239017009735107,False,True,1,1,Incorrect,Correct,Incorrect_to_Correct
A01,1,1,Right_Hand,1,Right_Hand,1,Right_Hand,0.12421289831399918,0.1971900463104248,0.07297714799642563,True,True,2,0,Correct,Correct,Correct_to_Correct
A01,2,1,Right_Hand,1,Right_Hand,1,Right_Hand,1.5168936252593994,1.5832496881484985,0.06635606288909912,True,True,0,0,Correct,Correct,Correct_to_Correct
A01,3,0,Left_Hand,0,Left_Hand,0,Left_Hand,1.7523112297058105,1.951590895652771,0.19927966594696045,True,True,3,3,Correct,Correct,Correct_to_Correct
A01,4,1,Right_Hand,0,Left_Hand,1,Right_Hand,-0.14025509357452393,0.03649544715881348,0.1767505407333374,False,True,0,0,Incorrect,Correct,Incorrect_to_Correct
A01,5,0,Left_Hand,3,Tongue,3,Tongue,-0.6415582895278931,-0.38613229990005493,0.25542598962783813,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,6,1,Right_Hand,1,Right_Hand,1,Right_Hand,0.7692131996154785,0.8520740270614624,0.08286082744598389,True,True,0,0,Correct,Correct,Correct_to_Correct
A01,7,2,Feet,3,Tongue,3,Tongue,-2.1411266326904297,-2.2301883697509766,-0.08906173706054688,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,8,1,Right_Hand,1,Right_Hand,1,Right_Hand,0.8586958646774292,0.7844256162643433,-0.07427024841308594,True,True,0,0,Correct,Correct,Correct_to_Correct
A01,9,3,Tongue,3,Tongue,3,Tongue,3.6336803436279297,3.9243364334106445,0.29065608978271484,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,10,0,Left_Hand,1,Right_Hand,1,Right_Hand,-0.5230910778045654,-0.5593252182006836,-0.036234140396118164,False,False,1,1,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,11,2,Feet,3,Tongue,3,Tongue,-1.129313588142395,-1.0571494102478027,0.07216417789459229,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,12,1,Right_Hand,1,Right_Hand,1,Right_Hand,1.1217830181121826,1.06424880027771,-0.057534217834472656,True,True,2,0,Correct,Correct,Correct_to_Correct
A01,13,0,Left_Hand,3,Tongue,3,Tongue,-0.21463072299957275,-0.08343499898910522,0.13119572401046753,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,14,3,Tongue,3,Tongue,3,Tongue,0.5401957035064697,0.7585500478744507,0.21835434436798096,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,15,3,Tongue,3,Tongue,3,Tongue,0.8350449800491333,0.8602263927459717,0.02518141269683838,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,16,3,Tongue,3,Tongue,3,Tongue,0.8846738338470459,0.6879253387451172,-0.1967484951019287,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,17,3,Tongue,3,Tongue,3,Tongue,1.8827645778656006,2.22564697265625,0.3428823947906494,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,18,2,Feet,2,Feet,2,Feet,0.44031235575675964,0.5026118755340576,0.062299519777297974,True,True,3,3,Correct,Correct,Correct_to_Correct
A01,19,1,Right_Hand,1,Right_Hand,1,Right_Hand,1.1102972030639648,0.9311027526855469,-0.17919445037841797,True,True,0,0,Correct,Correct,Correct_to_Correct
A01,20,0,Left_Hand,0,Left_Hand,0,Left_Hand,0.005364611744880676,0.2850264012813568,0.27966178953647614,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,21,0,Left_Hand,0,Left_Hand,0,Left_Hand,0.01875966787338257,0.1530410647392273,0.13428139686584473,True,True,2,1,Correct,Correct,Correct_to_Correct
A01,22,2,Feet,3,Tongue,3,Tongue,-0.6784045696258545,-0.8154067993164062,-0.13700222969055176,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,23,3,Tongue,3,Tongue,3,Tongue,1.253459095954895,1.0801559686660767,-0.17330312728881836,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,24,0,Left_Hand,0,Left_Hand,0,Left_Hand,0.7128788232803345,0.7590975761413574,0.04621875286102295,True,True,1,1,Correct,Correct,Correct_to_Correct
A01,25,2,Feet,2,Feet,2,Feet,0.8112961649894714,0.6039952635765076,-0.20730090141296387,True,True,3,3,Correct,Correct,Correct_to_Correct
A01,26,2,Feet,3,Tongue,3,Tongue,-1.957840919494629,-1.9341188669204712,0.023722052574157715,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,27,2,Feet,3,Tongue,3,Tongue,-1.0952701568603516,-1.32368004322052,-0.22840988636016846,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,28,0,Left_Hand,1,Right_Hand,1,Right_Hand,-0.19696664810180664,-0.059010863304138184,0.13795578479766846,False,False,1,1,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,29,1,Right_Hand,1,Right_Hand,1,Right_Hand,1.1388217210769653,1.0130119323730469,-0.12580978870391846,True,True,0,0,Correct,Correct,Correct_to_Correct
A01,30,0,Left_Hand,1,Right_Hand,1,Right_Hand,-0.4126596450805664,-0.42537420988082886,-0.012714564800262451,False,False,1,1,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,31,1,Right_Hand,1,Right_Hand,1,Right_Hand,1.2286542654037476,1.2408838272094727,0.012229561805725098,True,True,0,0,Correct,Correct,Correct_to_Correct
A01,32,0,Left_Hand,0,Left_Hand,0,Left_Hand,0.8657986521720886,0.9355831146240234,0.06978446245193481,True,True,1,1,Correct,Correct,Correct_to_Correct
A01,33,1,Right_Hand,1,Right_Hand,1,Right_Hand,1.4334063529968262,1.225616693496704,-0.20778965950012207,True,True,0,0,Correct,Correct,Correct_to_Correct
A01,34,2,Feet,3,Tongue,3,Tongue,-2.8091237545013428,-2.8438472747802734,-0.034723520278930664,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,35,1,Right_Hand,1,Right_Hand,1,Right_Hand,1.0200245380401611,1.1021382808685303,0.08211374282836914,True,True,0,0,Correct,Correct,Correct_to_Correct
A01,36,2,Feet,0,Left_Hand,0,Left_Hand,-1.4701279401779175,-1.673612356185913,-0.2034844160079956,False,False,0,0,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,37,2,Feet,2,Feet,2,Feet,0.8253673911094666,1.1550430059432983,0.3296756148338318,True,True,3,3,Correct,Correct,Correct_to_Correct
A01,38,3,Tongue,3,Tongue,3,Tongue,1.2201957702636719,1.3542078733444214,0.1340121030807495,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,39,2,Feet,2,Feet,2,Feet,0.11797332763671875,0.09237164258956909,-0.025601685047149658,True,True,3,3,Correct,Correct,Correct_to_Correct
A01,40,2,Feet,2,Feet,2,Feet,0.5141820907592773,0.3586759567260742,-0.15550613403320312,True,True,3,3,Correct,Correct,Correct_to_Correct
A01,41,3,Tongue,3,Tongue,3,Tongue,0.6801228523254395,0.599643349647522,-0.08047950267791748,True,True,2,2,Correct,Correct,Correct_to_Correct
